Credit_Limit;Customer_Age;Gender;Dependent_count;Education_Level;Marital_Status;Income_Category;Card_Category;Months_on_book;Total_Revolving_Bal;Total_Trans_Amt;Total_Trans_Ct;Avg_Utilization_Ratio
2216;55;F;2;Graduate;Married;Less than $40K;Blue;42;1034;1540;36;0.467
2910;54;M;1;Graduate;Unknown;$60K - $80K;Blue;43;2030;1256;21;0.698
22913;42;M;5;Uneducated;Married;$80K - $120K;Blue;37;1528;1394;35;0.067
24312;44;M;1;College;Single;$60K - $80K;Blue;35;1932;1341;24;0.079
5272;53;M;2;Graduate;Single;$80K - $120K;Blue;36;1515;1289;33;0.287
7000;44;F;4;Graduate;Single;Less than $40K;Blue;36;2517;1112;23;0.36
7038;37;F;3;Uneducated;Single;Less than $40K;Blue;29;1801;2339;57;0.256
2536;49;M;3;Graduate;Divorced;$60K - $80K;Blue;30;1823;1468;23;0.719
28904;47;M;2;Graduate;Married;$80K - $120K;Blue;38;1899;1334;35;0.066
8567;47;M;3;Graduate;Married;$60K - $80K;Blue;37;1695;1457;41;0.198
34516;44;M;1;Unknown;Unknown;$120K +;Blue;36;1533;1603;29;0.044
2158;55;F;4;Unknown;Married;$40K - $60K;Blue;45;0;615;12;0
10133;59;F;1;Graduate;Married;Unknown;Blue;52;1417;1068;20;0.14
34516;53;M;1;Graduate;Divorced;$80K - $120K;Blue;35;1219;1590;27;0.035
3085;52;M;2;Graduate;Married;$60K - $80K;Blue;47;1910;1531;35;0.619
19040;53;M;2;High School;Single;$120K +;Blue;35;2056;1212;31;0.108
4026;43;F;3;Uneducated;Single;Less than $40K;Blue;35;0;1237;32;0
12756;44;M;3;High School;Single;$60K - $80K;Blue;31;837;1413;14;0.066
5266;57;M;2;Unknown;Married;$120K +;Blue;45;0;1516;29;0
9930;51;F;2;High School;Single;Less than $40K;Blue;36;0;1276;21;0
31302;49;M;4;High School;Single;$80K - $120K;Blue;38;1953;1564;35;0.062
6576;45;M;1;Graduate;Single;$40K - $60K;Blue;36;0;1465;34;0
2664;53;M;0;Graduate;Single;$80K - $120K;Blue;42;2037;1286;29;0.765
2535;45;F;3;Unknown;Married;Unknown;Blue;28;2440;1312;20;0.963
1709;64;M;1;Graduate;Married;Less than $40K;Blue;52;895;1673;32;0.524
3454;45;M;3;Graduate;Married;$40K - $60K;Blue;35;1200;1313;30;0.347
3789;53;M;3;Doctorate;Married;$40K - $60K;Blue;35;1706;1609;42;0.45
9689;56;M;3;College;Married;$120K +;Blue;50;2250;1158;19;0.232
5449;47;M;2;Unknown;Married;$80K - $120K;Blue;37;1628;836;18;0.299
23032;49;F;3;College;Single;Unknown;Blue;43;1960;1289;22;0.085
34516;41;F;3;Unknown;Married;Unknown;Silver;34;2053;1487;26;0.059
2940;53;M;3;Graduate;Married;$120K +;Blue;34;1264;1259;33;0.43
3031;44;F;2;Graduate;Single;Less than $40K;Blue;32;1879;1298;15;0.62
1862;44;M;3;High School;Unknown;$60K - $80K;Blue;25;0;1226;34;0
8358;43;F;4;Post-Graduate;Married;Less than $40K;Blue;33;926;1566;37;0.111
34516;53;M;2;Post-Graduate;Single;$120K +;Blue;36;931;1022;21;0.027
14450;44;M;1;Uneducated;Married;$60K - $80K;Blue;36;2440;1235;30;0.169
1438.3;62;F;1;Unknown;Married;Less than $40K;Blue;56;0;1951;44;0
33791;54;M;4;Unknown;Divorced;$120K +;Blue;36;1960;1047;31;0.058
8466;57;M;4;Graduate;Married;$60K - $80K;Blue;39;1886;1342;32;0.223
15088;42;M;3;Unknown;Married;$60K - $80K;Blue;36;865;1107;21;0.057
3263;42;M;4;High School;Divorced;$60K - $80K;Blue;36;1674;1251;35;0.513
1494;54;F;0;Uneducated;Married;Less than $40K;Blue;36;706;1305;24;0.473
13551;48;M;3;Graduate;Single;$80K - $120K;Blue;35;1294;1388;37;0.095
18886;49;M;1;Graduate;Single;$80K - $120K;Blue;36;895;1235;18;0.047
11976;52;M;3;High School;Unknown;$80K - $120K;Blue;48;1273;2089;36;0.106
9964;50;M;3;High School;Single;$80K - $120K;Blue;39;1559;1626;25;0.156
24159;49;M;1;Doctorate;Married;$60K - $80K;Blue;36;1196;1111;24;0.05
5362;53;F;2;High School;Married;Less than $40K;Blue;44;1901;1553;38;0.355
34516;50;M;2;Graduate;Single;$120K +;Blue;36;1023;1064;13;0.03
3174;55;F;1;Doctorate;Married;Less than $40K;Blue;36;1951;1243;29;0.615
12262;53;M;1;High School;Married;$80K - $120K;Blue;47;1836;1659;38;0.15
3788;47;F;3;High School;Single;$40K - $60K;Blue;41;1540;1594;47;0.407
34516;55;M;2;College;Single;$120K +;Silver;42;1527;1268;42;0.044
2926;47;M;3;Graduate;Single;$60K - $80K;Blue;36;0;1304;24;0
32090;58;M;4;Graduate;Single;$120K +;Blue;52;0;1368;30;0
11669;53;M;2;Graduate;Married;$80K - $120K;Blue;41;2227;720;23;0.191
13532;52;M;2;High School;Single;$40K - $60K;Blue;45;1300;1521;29;0.096
11888;50;F;1;Uneducated;Unknown;Less than $40K;Silver;36;2090;1137;30;0.176
2393;42;F;1;Graduate;Married;Less than $40K;Blue;36;1985;978;16;0.83
6111;43;M;4;Unknown;Married;$40K - $60K;Blue;39;2517;1221;16;0.412
19270;57;M;4;Graduate;Married;$80K - $120K;Blue;46;1662;1565;28;0.086
3710;52;M;1;Graduate;Married;$80K - $120K;Blue;43;2517;1578;34;0.678
3235;47;M;2;Doctorate;Single;Less than $40K;Blue;37;797;1493;32;0.246
11749;44;F;3;Graduate;Single;$40K - $60K;Blue;38;788;1178;27;0.067
7753;53;M;2;High School;Divorced;$60K - $80K;Blue;36;2100;991;26;0.271
10408;45;M;4;College;Divorced;$60K - $80K;Blue;40;1186;2560;42;0.114
3967;63;F;1;College;Married;Unknown;Blue;36;1568;1657;29;0.395
6205;39;F;2;Post-Graduate;Single;Less than $40K;Blue;27;2517;1204;19;0.406
8025;48;F;5;High School;Married;Less than $40K;Blue;38;0;673;18;0
9036;51;M;1;Unknown;Single;$120K +;Blue;42;2327;1131;18;0.258
14926;54;M;4;Graduate;Married;$80K - $120K;Blue;34;2517;1576;25;0.169
6335;59;F;1;Graduate;Single;Less than $40K;Blue;36;1128;1217;20;0.178
14979;59;M;1;College;Single;$60K - $80K;Blue;53;0;530;10;0
2732;48;F;4;Uneducated;Married;Less than $40K;Blue;38;0;739;16;0
2250;41;F;2;Graduate;Single;Less than $40K;Blue;32;2117;1617;31;0.941
10916;55;M;2;Graduate;Married;$120K +;Blue;50;1536;1592;34;0.141
5349;47;F;4;Graduate;Married;Unknown;Blue;36;1228;1343;30;0.23
9366;41;M;2;High School;Married;$80K - $120K;Blue;24;1104;1303;39;0.118
21617;40;M;3;High School;Single;$80K - $120K;Blue;28;0;1351;22;0
13860;68;M;1;Graduate;Married;Unknown;Blue;56;1652;1910;32;0.119
18386;50;F;1;Graduate;Single;$40K - $60K;Silver;31;0;1298;22;0
2405;47;M;4;Uneducated;Single;$60K - $80K;Blue;41;1540;1087;29;0.64
2154;53;F;1;College;Married;Less than $40K;Blue;47;930;1439;26;0.432
2038;42;F;5;Unknown;Married;$40K - $60K;Blue;36;0;1238;28;0
8135;48;F;4;High School;Single;$40K - $60K;Blue;38;0;1716;29;0
9364;49;M;1;Doctorate;Married;$120K +;Blue;38;618;1099;27;0.066
32643;44;F;2;Uneducated;Married;Unknown;Silver;35;0;1058;24;0
3195;43;F;4;Graduate;Divorced;Less than $40K;Blue;34;1954;1285;29;0.612
2852;56;M;0;High School;Married;$80K - $120K;Blue;43;1024;1651;28;0.359
4224;59;F;1;College;Single;Unknown;Blue;36;1305;1152;31;0.309
20459;46;M;1;Uneducated;Married;$60K - $80K;Blue;36;2071;1767;38;0.101
3482;47;F;4;Unknown;Divorced;Less than $40K;Blue;41;2114;1039;24;0.607
3065;50;F;4;Uneducated;Married;$40K - $60K;Blue;40;1570;1130;28;0.512
2185;51;F;3;Uneducated;Married;Less than $40K;Blue;43;1761;1645;30;0.806
1611;47;F;3;Uneducated;Married;Less than $40K;Blue;36;746;1413;29;0.463
2822;58;F;4;Uneducated;Married;Less than $40K;Blue;47;2173;1218;23;0.77
32975;46;M;5;Graduate;Single;$80K - $120K;Blue;33;2517;597;17;0.076
1438.3;53;M;3;High School;Married;$60K - $80K;Blue;47;0;2184;53;0
15875;45;F;4;Uneducated;Divorced;Unknown;Blue;36;1719;1592;37;0.108
6703;52;F;1;High School;Married;Less than $40K;Blue;45;893;1388;28;0.133
3212;53;M;2;Unknown;Married;$80K - $120K;Blue;36;0;757;20;0
34516;50;M;2;High School;Married;$80K - $120K;Silver;45;1260;1504;34;0.037
9797;41;F;3;High School;Married;$40K - $60K;Blue;36;1434;1503;34;0.146
10400;45;F;5;Graduate;Divorced;$40K - $60K;Blue;36;1777;1105;28;0.171
26792;53;M;3;Uneducated;Married;$80K - $120K;Blue;42;1836;2398;47;0.069
3006;67;F;1;Graduate;Married;Less than $40K;Blue;56;2517;1661;32;0.837
19482;57;F;2;Uneducated;Single;$40K - $60K;Silver;36;1072;1421;22;0.055
3356;59;F;1;Uneducated;Married;$40K - $60K;Blue;36;985;999;28;0.294
5771;45;M;2;Uneducated;Married;$40K - $60K;Blue;34;2248;1387;18;0.39
11106;51;M;3;Graduate;Married;$80K - $120K;Blue;36;2107;1243;24;0.19
2890;59;F;1;Uneducated;Married;Less than $40K;Blue;54;2001;1860;36;0.692
3380;53;M;1;Graduate;Married;$60K - $80K;Blue;45;1701;1502;25;0.503
21331;47;M;3;Graduate;Married;$60K - $80K;Blue;36;1251;1460;50;0.059
12860;49;F;3;Uneducated;Single;Unknown;Blue;38;0;1348;27;0
6278;49;M;3;Post-Graduate;Single;$80K - $120K;Blue;33;462;1087;33;0.074
1438.3;60;F;0;College;Single;Less than $40K;Blue;55;738;1226;33;0.513
9355;50;F;2;High School;Married;Less than $40K;Blue;36;1626;1230;28;0.174
20758;41;F;2;Post-Graduate;Married;Unknown;Blue;31;0;1555;32;0
14612;57;M;1;Graduate;Married;$80K - $120K;Blue;47;1976;1827;24;0.135
27259;43;M;4;Graduate;Unknown;$80K - $120K;Blue;27;0;1376;35;0
6347;57;F;3;Graduate;Married;Less than $40K;Blue;47;1594;1771;37;0.251
21592;54;M;3;Doctorate;Married;$120K +;Blue;41;1676;1873;52;0.078
3449;51;F;5;Post-Graduate;Married;Less than $40K;Blue;44;1598;1679;42;0.463
6028;47;F;3;High School;Married;Less than $40K;Blue;34;799;1002;22;0.133
18214;41;M;0;High School;Unknown;$120K +;Blue;36;1998;1344;21;0.11
16393;53;M;3;Uneducated;Married;$80K - $120K;Blue;43;1423;1461;42;0.087
1438.3;68;M;0;High School;Married;Less than $40K;Blue;52;900;760;21;0.626
7871;59;M;1;College;Married;$60K - $80K;Blue;36;1687;1428;22;0.214
5288;48;M;4;Unknown;Married;$80K - $120K;Blue;36;866;1777;42;0.164
11376;44;M;5;Graduate;Married;$60K - $80K;Blue;32;2006;1302;27;0.176
12302;48;M;3;College;Married;$80K - $120K;Blue;41;1632;1483;41;0.133
34516;47;M;4;Graduate;Married;$60K - $80K;Silver;33;1679;1060;27;0.049
34516;47;M;2;Graduate;Married;$60K - $80K;Silver;32;1468;1330;32;0.043
10514;43;F;1;High School;Divorced;Less than $40K;Silver;35;1580;1229;27;0.15
1438.3;55;F;2;Graduate;Married;Less than $40K;Blue;43;0;886;27;0
1438.3;59;M;2;Post-Graduate;Married;$60K - $80K;Blue;46;0;844;24;0
2619;63;M;1;Graduate;Married;$40K - $60K;Blue;56;1779;1450;37;0.679
24407;58;M;2;College;Married;$120K +;Blue;53;2395;2311;48;0.098
2377;53;F;2;High School;Married;Less than $40K;Blue;36;1649;1378;26;0.694
34516;59;M;0;Unknown;Unknown;$80K - $120K;Silver;40;1359;1033;26;0.039
11086;52;M;3;Graduate;Married;$120K +;Blue;47;2207;1523;40;0.199
11432;48;M;3;High School;Single;$60K - $80K;Blue;36;2517;1374;37;0.22
13258;43;M;4;High School;Married;$40K - $60K;Blue;36;1721;1080;21;0.13
2571;48;M;2;College;Single;Less than $40K;Blue;36;1955;1234;24;0.76
5781;43;F;4;Graduate;Single;Less than $40K;Blue;31;1168;1600;32;0.202
7872;44;M;4;Unknown;Married;$60K - $80K;Blue;30;2509;1155;32;0.319
34516;41;M;3;High School;Married;$80K - $120K;Blue;35;1202;1353;33;0.035
11127;44;F;3;Uneducated;Divorced;Less than $40K;Silver;38;1835;1546;25;0.165
1857;50;M;2;Unknown;Single;$40K - $60K;Blue;43;1603;1590;43;0.863
1913;60;F;1;Uneducated;Married;Less than $40K;Blue;36;1272;1448;22;0.665
3839;44;M;4;Graduate;Single;$80K - $120K;Blue;24;2295;1271;24;0.598
2115;48;F;3;Graduate;Divorced;$40K - $60K;Blue;39;1141;1223;20;0.539
1438.3;44;F;2;Graduate;Divorced;Less than $40K;Blue;27;679;1117;29;0.472
27756;41;M;2;High School;Single;$80K - $120K;Blue;28;1789;994;24;0.064
1438.3;45;M;3;College;Single;$60K - $80K;Blue;32;0;1468;26;0
13878;47;F;2;Uneducated;Divorced;Less than $40K;Silver;34;2222;1658;38;0.16
3106;51;F;2;Graduate;Married;Less than $40K;Blue;36;1304;1368;38;0.42
34516;51;M;2;Graduate;Married;$120K +;Blue;44;1666;1218;18;0.048
1438.3;60;F;1;Uneducated;Married;$40K - $60K;Blue;50;1025;702;12;0.713
18871;57;M;2;Unknown;Married;$80K - $120K;Blue;46;1740;1516;21;0.092
5207;41;M;5;Graduate;Single;$120K +;Blue;29;1748;1310;26;0.336
17965;44;M;3;Post-Graduate;Divorced;$80K - $120K;Blue;36;1644;1767;50;0.092
2733;43;M;1;College;Single;$60K - $80K;Blue;37;1819;933;25;0.666
8863;55;M;2;College;Married;$60K - $80K;Blue;48;1301;1512;27;0.147
1857;52;M;1;Uneducated;Married;$80K - $120K;Blue;36;1833;829;17;0.987
34516;44;M;3;Graduate;Unknown;$80K - $120K;Blue;33;0;1120;27;0
11107;41;M;2;Uneducated;Married;$40K - $60K;Blue;30;1222;1506;33;0.11
21573;44;M;4;Unknown;Single;$80K - $120K;Blue;34;1585;1384;36;0.073
2859;53;F;2;Unknown;Married;Less than $40K;Blue;33;2517;817;30;0.88
5269;39;M;2;High School;Single;$80K - $120K;Blue;36;1475;2094;25;0.28
1438.3;49;M;5;College;Married;$40K - $60K;Blue;45;0;815;21;0
3387;45;F;2;College;Married;Less than $40K;Blue;36;0;510;24;0
1982;54;M;2;Graduate;Married;$80K - $120K;Blue;46;1289;1377;49;0.65
4645;49;M;3;Uneducated;Single;$80K - $120K;Blue;43;1650;1193;33;0.355
2189;46;F;3;Doctorate;Single;Unknown;Blue;36;1666;1287;36;0.761
2442;46;M;4;High School;Married;$120K +;Blue;30;0;701;19;0
21304;47;M;3;Graduate;Married;$60K - $80K;Blue;38;1532;1770;25;0.072
7577;44;M;2;Doctorate;Single;$60K - $80K;Blue;36;2480;1409;35;0.327
3234;50;M;3;Post-Graduate;Single;$120K +;Blue;31;1486;1354;28;0.459
4469;73;M;0;High School;Married;$40K - $60K;Blue;36;1125;1765;34;0.252
2910;56;M;3;Unknown;Unknown;$40K - $60K;Blue;46;709;1192;27;0.244
3616;59;M;0;High School;Single;$40K - $60K;Blue;48;1054;687;17;0.291
3252;70;M;0;High School;Married;Less than $40K;Blue;56;1495;1227;15;0.46
2358;55;F;2;High School;Married;Less than $40K;Blue;36;1152;1737;26;0.489
22322;43;M;4;Unknown;Single;$60K - $80K;Blue;36;953;1348;34;0.043
3133;45;M;1;Uneducated;Single;$120K +;Blue;39;1510;1435;38;0.482
3540;45;F;2;Uneducated;Single;$40K - $60K;Blue;35;849;1321;28;0.24
6990;40;M;1;Graduate;Married;$40K - $60K;Blue;23;1378;1479;29;0.197
34516;36;M;2;College;Unknown;$80K - $120K;Blue;22;1652;1283;39;0.048
1438.3;59;F;0;Post-Graduate;Married;$40K - $60K;Blue;40;0;689;23;0
24396;43;M;4;Unknown;Married;$60K - $80K;Blue;35;1171;965;17;0.048
2474;46;F;1;Unknown;Married;Less than $40K;Blue;36;2143;1541;40;0.866
5214;41;M;2;Uneducated;Married;$40K - $60K;Blue;32;795;1258;23;0.152
5207;51;F;2;Graduate;Married;Less than $40K;Blue;46;1650;1339;20;0.317
9512;51;F;3;Unknown;Unknown;Less than $40K;Blue;25;1082;1007;22;0.114
3187;43;F;4;Graduate;Divorced;Unknown;Blue;23;2430;1387;33;0.762
3353;64;F;0;High School;Married;$40K - $60K;Blue;53;0;960;18;0
2290;54;M;5;Graduate;Married;$60K - $80K;Blue;38;1434;1119;18;0.626
5279;48;M;3;Unknown;Single;$40K - $60K;Blue;43;1115;1642;41;0.211
23603;40;M;2;Uneducated;Divorced;$60K - $80K;Blue;29;0;1382;31;0
2601;57;M;0;Uneducated;Married;$40K - $60K;Blue;45;0;1232;32;0
6363;45;M;4;Graduate;Single;$80K - $120K;Blue;40;1029;1542;16;0.162
8029;41;M;3;High School;Single;$80K - $120K;Blue;36;1576;1094;32;0.196
2410;42;F;4;Uneducated;Married;Less than $40K;Blue;31;1769;1217;30;0.734
3401;45;M;2;Graduate;Single;$60K - $80K;Blue;36;0;744;18;0
2260;42;F;4;Uneducated;Married;Less than $40K;Blue;23;1007;1614;33;0.446
17682;47;M;4;Uneducated;Divorced;$80K - $120K;Blue;30;2481;1747;31;0.14
4206;48;F;4;High School;Married;$40K - $60K;Blue;42;1100;1144;22;0.262
34516;43;M;1;Graduate;Single;$80K - $120K;Silver;37;1440;1575;34;0.042
23018;41;M;4;High School;Unknown;$80K - $120K;Blue;36;2168;1463;24;0.094
5556;54;F;1;Uneducated;Married;$40K - $60K;Blue;44;1711;1706;21;0.308
6094;54;F;2;High School;Married;Unknown;Blue;44;0;909;14;0
2939;61;M;0;Graduate;Married;$40K - $60K;Blue;52;1999;2434;33;0.68
5362;61;M;0;Uneducated;Married;$80K - $120K;Blue;48;1274;1876;41;0.238
27126;48;M;2;High School;Married;$120K +;Blue;36;0;1000;25;0
3342;45;F;4;Graduate;Single;Less than $40K;Blue;36;2517;1139;30;0.753
2532;54;F;4;Graduate;Married;Unknown;Blue;40;2221;799;21;0.877
1900;54;F;3;Doctorate;Married;Unknown;Blue;46;1376;1881;45;0.724
14546;44;M;3;Graduate;Single;$60K - $80K;Blue;37;1703;1273;27;0.117
2521;50;F;4;Doctorate;Single;Unknown;Blue;36;1608;1328;33;0.638
16427;55;M;2;Doctorate;Married;$60K - $80K;Blue;36;1682;1579;36;0.102
13068;48;M;2;Graduate;Unknown;$40K - $60K;Blue;36;1718;937;28;0.131
23218;45;M;2;College;Single;$60K - $80K;Blue;33;1814;1749;37;0.078
3281;60;M;0;High School;Married;$40K - $60K;Blue;36;837;1424;29;0.255
3096;55;M;2;High School;Married;$40K - $60K;Blue;47;2217;2011;41;0.716
2052;62;F;0;High School;Married;$40K - $60K;Blue;52;1250;1208;31;0.609
1438.3;38;F;1;High School;Unknown;Less than $40K;Blue;30;583;1259;24;0.405
9432;46;M;3;High School;Single;$40K - $60K;Blue;39;1418;1319;26;0.15
14938;50;M;0;High School;Single;$120K +;Silver;45;2303;949;27;0.154
2221;45;M;2;Uneducated;Married;$60K - $80K;Blue;36;1343;1338;30;0.605
5731;47;M;3;Post-Graduate;Divorced;$60K - $80K;Blue;37;1577;1554;26;0.275
34516;48;M;4;College;Married;$60K - $80K;Gold;33;2061;1350;32;0.06
6985;35;M;3;Uneducated;Married;$60K - $80K;Blue;22;1130;1694;44;0.162
24221;51;M;2;Graduate;Married;$120K +;Blue;42;1707;1678;40;0.07
15439;36;F;3;High School;Married;Unknown;Blue;24;0;2069;43;0
21637;47;M;4;Graduate;Single;$80K - $120K;Blue;36;2030;1222;23;0.094
14543;52;M;2;Graduate;Single;$120K +;Blue;37;0;1536;37;0
9684;43;F;4;Uneducated;Married;Less than $40K;Blue;36;2475;1400;31;0.256
5007;63;M;2;High School;Married;$40K - $60K;Blue;36;930;1050;28;0.186
1616;61;M;0;Graduate;Married;$60K - $80K;Blue;54;1047;1389;33;0.648
19116;53;M;2;Uneducated;Single;$60K - $80K;Blue;40;0;1184;29;0
2759;53;F;3;Graduate;Married;Less than $40K;Blue;47;2223;2093;42;0.806
8249;57;M;3;Graduate;Married;$120K +;Blue;38;1381;678;11;0.167
14041;38;F;2;Graduate;Single;Unknown;Blue;31;2154;1467;29;0.153
5264;53;M;3;High School;Married;$60K - $80K;Blue;43;2169;1219;27;0.412
2420;63;F;0;Unknown;Married;Less than $40K;Blue;54;1912;1730;36;0.79
2826;49;F;4;High School;Married;Less than $40K;Blue;43;2070;1025;28;0.732
12518;45;M;2;High School;Married;$80K - $120K;Blue;34;1539;1165;33;0.123
5876;67;M;0;Graduate;Married;$40K - $60K;Blue;56;1297;2133;55;0.221
34516;48;M;3;Graduate;Single;$80K - $120K;Silver;37;0;1122;13;0
9648;51;F;2;Uneducated;Divorced;Less than $40K;Blue;38;1926;1083;22;0.2
34516;52;M;2;High School;Single;$80K - $120K;Silver;40;2177;1234;23;0.063
3025;55;F;2;Uneducated;Married;Unknown;Blue;35;2376;1277;23;0.785
3265;34;M;3;High School;Married;$60K - $80K;Blue;26;2517;1843;35;0.771
6041;56;M;1;Uneducated;Married;$120K +;Blue;36;1355;1747;49;0.224
2293;44;F;2;Post-Graduate;Married;Less than $40K;Blue;36;1823;1166;22;0.795
13399;47;M;3;Post-Graduate;Unknown;$80K - $120K;Blue;36;2505;1326;31;0.187
4317;46;F;3;Unknown;Married;Less than $40K;Blue;38;2517;1619;36;0.583
3378;43;F;3;Graduate;Single;$40K - $60K;Blue;29;1069;1285;16;0.316
